id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
169;2000;8;villeneuve;Canada;prost;alesi;19;0.0;17;Electrical;-2
170;2000;8;villeneuve;Canada;prost;heidfeld;20;0.0;21;Engine;1
171;2000;8;villeneuve;Canada;sauber;diniz;10;0.0;19;Finished;9
172;2000;8;villeneuve;Canada;sauber;salo;18;0.0;15;Electrical;-3
173;2000;8;villeneuve;Canada;williams;button;11;0.0;18;+1 Lap;7
174;2000;8;villeneuve;Canada;williams;ralf_schumacher;14;0.0;12;Collision;-2
175;2000;9;magny_cours;France;arrows;rosa;17;0.0;13;Transmission;-4
176;2000;9;magny_cours;France;arrows;verstappen;20;0.0;20;Transmission;0
177;2000;9;magny_cours;France;bar;villeneuve;4;3.0;7;Finished;3
178;2000;9;magny_cours;France;bar;zonta;22;0.0;19;Spun off;-3
179;2000;9;magny_cours;France;benetton;fisichella;9;0.0;14;+1 Lap;5
180;2000;9;magny_cours;France;benetton;wurz;18;0.0;17;Spun off;-1
181;2000;9;magny_cours;France;ferrari;barrichello;3;4.0;3;Finished;0
182;2000;9;magny_cours;France;ferrari;michael_schumacher;16;0.0;1;Engine;-15
183;2000;9;magny_cours;France;jaguar;herbert;21;0.0;11;Gearbox;-10
184;2000;9;magny_cours;France;jaguar;irvine;13;0.0;6;+2 Laps;-7
185;2000;9;magny_cours;France;jordan;frentzen;7;0.0;8;+1 Lap;1
186;2000;9;magny_cours;France;jordan;trulli;6;1.0;9;Finished;3
187;2000;9;magny_cours;France;mclaren;coulthard;1;10.0;2;Finished;1
188;2000;9;magny_cours;France;mclaren;hakkinen;2;6.0;4;Finished;2
189;2000;9;magny_cours;France;minardi;gene;15;0.0;21;+2 Laps;6
190;2000;9;magny_cours;France;minardi;mazzacane;19;0.0;22;Spun off;3
191;2000;9;magny_cours;France;prost;alesi;14;0.0;18;+2 Laps;4
192;2000;9;magny_cours;France;prost;heidfeld;12;0.0;16;+1 Lap;4
193;2000;9;magny_cours;France;sauber;diniz;11;0.0;15;+1 Lap;4
194;2000;9;magny_cours;France;sauber;salo;10;0.0;12;+1 Lap;2
195;2000;9;magny_cours;France;williams;button;8;0.0;10;+1 Lap;2
196;2000;9;magny_cours;France;williams;ralf_schumacher;5;2.0;5;Finished;0
197;2000;10;red_bull_ring;Austria;arrows;rosa;17;0.0;12;Gearbox;-5
198;2000;10;red_bull_ring;Austria;arrows;verstappen;18;0.0;10;Engine;-8
