id;season;round;position;points;wins;driverId
417;2001;4;5;7.0;0;heidfeld
418;2001;4;6;6.0;0;frentzen
419;2001;4;7;4.0;0;hakkinen
420;2001;4;8;4.0;0;trulli
421;2001;4;9;3.0;0;panis
422;2001;4;10;1.0;0;fisichella
423;2001;4;11;1.0;0;raikkonen
424;2001;4;12;0.0;0;verstappen
425;2001;4;13;0.0;0;villeneuve
426;2001;4;14;0.0;0;alesi
427;2001;4;15;0.0;0;burti
428;2001;4;16;0.0;0;marques
429;2001;4;17;0.0;0;button
430;2001;4;18;0.0;0;bernoldi
431;2001;4;19;0.0;0;irvine
432;2001;4;20;0.0;0;alonso
433;2001;4;21;0.0;0;mazzacane
434;2001;5;1;36.0;3;michael_schumacher
435;2001;5;2;28.0;1;coulthard
436;2001;5;3;14.0;0;barrichello
437;2001;5;4;12.0;1;ralf_schumacher
438;2001;5;5;8.0;0;heidfeld
439;2001;5;6;7.0;0;trulli
440;2001;5;7;6.0;0;montoya
441;2001;5;8;6.0;0;frentzen
442;2001;5;9;4.0;0;villeneuve
443;2001;5;10;4.0;0;hakkinen
444;2001;5;11;3.0;0;panis
445;2001;5;12;1.0;0;raikkonen
446;2001;5;13;1.0;0;fisichella
447;2001;5;14;0.0;0;verstappen
448;2001;5;15;0.0;0;alesi
449;2001;5;16;0.0;0;burti
450;2001;5;17;0.0;0;marques
451;2001;5;18;0.0;0;button
452;2001;5;19;0.0;0;bernoldi
453;2001;5;20;0.0;0;irvine
454;2001;5;21;0.0;0;alonso
455;2001;5;22;0.0;0;mazzacane
456;2001;6;1;42.0;3;michael_schumacher
457;2001;6;2;38.0;2;coulthard
458;2001;6;3;18.0;0;barrichello
459;2001;6;4;12.0;1;ralf_schumacher
460;2001;6;5;8.0;0;heidfeld
461;2001;6;6;7.0;0;trulli
462;2001;6;7;6.0;0;montoya
463;2001;6;8;6.0;0;frentzen
464;2001;6;9;5.0;0;panis
465;2001;6;10;4.0;0;villeneuve
466;2001;6;11;4.0;0;raikkonen
467;2001;6;12;4.0;0;hakkinen
468;2001;6;13;1.0;0;verstappen
469;2001;6;14;1.0;0;fisichella
470;2001;6;15;0.0;0;irvine
471;2001;6;16;0.0;0;alesi
472;2001;6;17;0.0;0;burti
473;2001;6;18;0.0;0;marques
474;2001;6;19;0.0;0;button
475;2001;6;20;0.0;0;bernoldi
476;2001;6;21;0.0;0;alonso
477;2001;6;22;0.0;0;mazzacane
478;2001;7;1;52.0;4;michael_schumacher
479;2001;7;2;40.0;2;coulthard
480;2001;7;3;24.0;0;barrichello
481;2001;7;4;12.0;1;ralf_schumacher
482;2001;7;5;8.0;0;heidfeld
483;2001;7;6;7.0;0;villeneuve
484;2001;7;7;7.0;0;trulli
485;2001;7;8;6.0;0;montoya
